class_idx,label,test_samples,correct,accuracy
0,adjectives::alive,2,2,1.0
1,adjectives::bad,3,3,1.0
2,adjectives::beautiful,2,2,1.0
3,adjectives::big large,3,3,1.0
4,adjectives::blind,2,2,1.0
5,adjectives::cheap,1,1,1.0
6,adjectives::clean,1,1,1.0
7,adjectives::cold,3,2,0.6666666666666666
8,adjectives::cool,3,3,1.0
9,adjectives::curved,2,2,1.0
10,adjectives::dead,2,2,1.0
11,adjectives::deaf,1,1,1.0
12,adjectives::deep,1,1,1.0
13,adjectives::dirty,1,1,1.0
14,adjectives::dry,3,3,1.0
15,adjectives::expensive,1,1,1.0
16,adjectives::famous,1,1,1.0
17,adjectives::fast,3,3,1.0
18,adjectives::female,1,1,1.0
19,adjectives::flat,1,1,1.0
20,adjectives::good,3,3,1.0
21,adjectives::happy,3,3,1.0
22,adjectives::hard,1,1,1.0
23,adjectives::healthy,3,3,1.0
24,adjectives::heavy,2,2,1.0
25,adjectives::high,1,1,1.0
26,adjectives::hot,3,3,1.0
27,adjectives::light,1,1,1.0
28,adjectives::long,3,3,1.0
29,adjectives::loose,1,1,1.0
30,adjectives::loud,3,3,1.0
31,adjectives::low,1,1,1.0
32,adjectives::male,1,1,1.0
33,adjectives::mean,1,1,1.0
34,adjectives::narrow,3,3,1.0
35,adjectives::new,3,3,1.0
36,adjectives::nice,1,1,1.0
37,adjectives::old,3,3,1.0
38,adjectives::poor,1,1,1.0
39,adjectives::quiet,3,3,1.0
40,adjectives::rich,1,1,1.0
41,adjectives::sad,1,1,1.0
42,adjectives::shallow,2,2,1.0
43,adjectives::short,4,4,1.0
44,adjectives::sick,3,3,1.0
45,adjectives::slow,3,3,1.0
46,adjectives::small little,4,4,1.0
47,adjectives::soft,1,1,1.0
48,adjectives::strong,2,2,1.0
49,adjectives::tall,3,3,1.0
50,adjectives::thick,1,1,1.0
51,adjectives::thin,1,1,1.0
52,adjectives::tight,1,1,1.0
53,adjectives::ugly,1,1,1.0
54,adjectives::warm,3,3,1.0
55,adjectives::weak,1,1,1.0
56,adjectives::wet,3,2,0.6666666666666666
57,adjectives::wide,3,3,1.0
58,adjectives::young,3,3,1.0
59,animals::animal,3,3,1.0
60,animals::bird,4,4,1.0
61,animals::cat,3,3,1.0
62,animals::cow,3,3,1.0
63,animals::dog,3,3,1.0
64,animals::fish,3,3,1.0
65,animals::horse,3,2,0.6666666666666666
66,animals::mouse,3,3,1.0
67,clothes::clothing,3,1,0.3333333333333333
